Original_SampleID,SampleID,Run,Sex,Genotype,BrainRegion,LibraryPrepBatch
S148_8acc_139_S139,S8_NAcc,1,male,PWK,NAcc,3
SBatch3_148_8acc_139_S33,S8_NAcc_2,2,male,PWK,NAcc,3_rerun
S143_8cea_45_S45,S8_CeA,1,male,PWK,CeA,1
S144_8prl_93_S93,S8_PrL,1,male,PWK,PrL,2
SBatch2_144_8prl_93_S30,S8_PrL_2,2,male,PWK,PrL,2_rerun
S110_9acc_129_S129,S9_NAcc,1,male,B6,NAcc,3
SBatch3_110_9acc_129_S8,S9_NAcc_2,2,male,B6,NAcc,3_rerun
S117_9cea_36_S36,S9_CeA,1,male,B6,CeA,1
S109_9prl_81_S81,S9_PrL,1,male,B6,PrL,2
SBatch2_109_9prl_81_S7,S9_PrL_2,2,male,B6,PrL,2_rerun
